,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,jamestown,42.1,-79.24,66.0,63,20,9.17,US,1589651155
116,port elizabeth,-33.92,25.57,55.4,87,87,3.36,ZA,1589651605
117,port-cartier,50.03,-66.87,51.01,54,75,9.17,CA,1589651605
118,santa vitoria,-18.84,-50.12,76.24,69,69,7.52,BR,1589651605
119,pisco,-13.7,-76.22,66.2,82,90,8.05,PE,1589651605
120,sao filipe,14.9,-24.5,74.1,75,43,12.53,CV,1589651606
121,coquimbo,-29.95,-71.34,57.2,82,75,12.75,CL,1589651606
122,sargur,11.98,76.42,75.36,82,100,4.03,IN,1589651606
123,san andres,12.58,-81.7,89.6,66,40,14.99,CO,1589651606
124,yima,34.74,111.88,77.0,99,0,5.1,CN,1589651606
125,yulara,-25.24,130.99,48.2,42,0,8.05,AU,1589651607
126,ribeira grande,38.52,-28.7,66.2,93,75,10.29,PT,1589651264
127,khash,28.22,61.22,74.53,20,70,4.45,IR,1589651607
128,hervey bay,-25.3,152.85,62.01,91,6,5.99,AU,1589651607
129,aksarka,66.56,67.8,36.09,97,100,5.91,RU,1589651608
130,podporozhye,60.91,34.17,42.94,91,100,5.53,RU,1589651608
131,puerto ayora,-0.74,-90.35,80.6,74,20,11.41,EC,1589651261
132,klaksvik,62.23,-6.59,39.2,80,100,21.92,FO,1589651608
133,laguna,38.42,-121.42,73.0,40,1,8.05,US,1589651608
134,mmabatho,-25.85,25.63,62.6,27,0,5.82,ZA,1589651609
135,cherskiy,68.75,161.3,39.43,65,0,4.41,RU,1589651609
136,zyryanka,65.75,150.85,32.52,96,92,10.8,RU,1589651609
137,kitimat,54.05,-128.65,57.2,54,75,10.29,CA,1589651609
138,dali,25.7,100.18,60.22,72,71,4.81,CN,1589651609
139,usinsk,65.99,57.53,41.18,69,100,8.79,RU,1589651610
140,yuci,37.68,112.73,55.4,28,0,6.71,CN,1589651610
141,rimbey,52.63,-114.24,64.4,45,75,5.82,CA,1589651610
142,road town,18.42,-64.62,87.8,62,40,11.41,VG,1589651610
143,bonawon,9.13,122.92,82.13,77,16,3.42,PH,1589651611
144,hofn,64.25,-15.21,43.63,61,91,13.33,IS,1589651611
145,orlik,52.52,99.83,42.33,62,100,0.63,RU,1589651611
146,new norfolk,-42.78,147.06,51.01,85,18,3.0,AU,1589651611
147,esperance,-33.87,121.9,55.4,66,75,4.7,AU,1589651611
148,balkhash,46.84,74.98,64.74,51,97,3.09,KZ,1589651612
149,anadyr,64.75,177.48,32.0,94,75,4.47,RU,1589651612
150,port blair,11.67,92.75,81.72,86,100,16.96,IN,1589651612
151,norman wells,65.28,-126.83,28.4,58,75,16.11,CA,1589651612
152,sitka,57.05,-135.33,53.6,76,40,3.49,US,1589651612
153,inirida,3.87,-67.92,88.57,67,60,1.66,CO,1589651613
154,guadix,37.3,-3.14,57.0,73,99,3.31,ES,1589651613
155,tiksi,71.69,128.87,22.19,98,82,6.11,RU,1589651613
156,padang,-0.95,100.35,80.17,79,100,4.18,ID,1589651613
157,nyurba,63.28,118.33,49.44,71,100,2.8,RU,1589651613
158,felipe carrillo puerto,19.58,-88.05,95.05,43,8,7.16,MX,1589651614
159,grindavik,63.84,-22.43,50.0,43,0,18.34,IS,1589651614
160,nikolskoye,59.7,30.79,43.0,81,75,6.71,RU,1589651614
161,muros,42.78,-9.06,72.0,61,0,10.0,ES,1589651260
162,pundaguitan,6.37,126.17,83.37,78,16,13.51,PH,1589651614
163,suntar,62.14,117.63,49.96,65,100,2.73,RU,1589651614
164,codrington,-38.27,141.97,42.94,77,5,6.93,AU,1589651615
165,belmonte,-15.86,-38.88,78.8,78,75,5.82,BR,1589651615
166,nishihara,26.18,127.76,78.8,88,75,10.29,JP,1589651615
167,victoria,22.29,114.16,82.0,74,51,5.99,HK,1589651317
168,kabanjahe,3.1,98.49,67.17,97,100,1.74,ID,1589651615
169,banda aceh,5.56,95.32,79.12,90,98,19.08,ID,1589651430
170,rawson,-43.3,-65.1,66.7,33,81,18.99,AR,1589651616
171,bengkulu,-3.8,102.27,78.91,83,89,4.0,ID,1589651616
172,megalopoli,37.4,22.14,82.0,47,55,2.57,GR,1589651483
173,te anau,-45.42,167.72,38.97,79,0,0.69,NZ,1589651618
174,vila velha,-20.33,-40.29,71.6,88,90,3.36,BR,1589651452
175,donskoye,45.46,41.97,53.6,81,90,17.9,RU,1589651619
176,dingle,11.0,122.67,79.63,85,96,3.13,PH,1589651619
177,nome,64.5,-165.41,46.99,75,90,4.7,US,1589651619
178,baruun-urt,46.68,113.28,40.41,78,76,11.45,MN,1589651619
179,broken hill,-31.95,141.43,51.8,71,0,9.17,AU,1589651620
180,port hardy,50.7,-127.42,55.4,76,90,20.8,CA,1589651620
181,ilhabela,-23.78,-45.36,72.99,71,36,2.28,BR,1589651376
182,naze,28.37,129.48,75.2,100,90,8.05,JP,1589651620
183,half moon bay,37.46,-122.43,69.01,87,90,4.7,US,1589651620
184,barrow,71.29,-156.79,24.8,79,90,11.41,US,1589651261
185,roscommon,53.63,-8.18,49.24,87,100,7.81,IE,1589651621
186,necochea,-38.55,-58.74,78.01,44,0,7.0,AR,1589651621
187,vao,-22.67,167.48,72.19,76,89,13.31,NC,1589651621
188,touros,-5.2,-35.46,75.2,100,75,4.7,BR,1589651536
189,komsomolskiy,40.43,71.72,62.6,63,63,9.17,UZ,1589651622
190,havelock,34.88,-76.9,86.0,42,75,4.7,US,1589651622
191,vestmannaeyjar,63.44,-20.27,46.4,61,0,9.17,IS,1589651622
192,manicore,-5.81,-61.3,87.8,70,40,4.7,BR,1589651622
193,tuktoyaktuk,69.45,-133.04,24.8,85,90,11.41,CA,1589651623
194,labuhan,-6.88,112.21,78.73,89,84,6.13,ID,1589651623
195,bethel,41.37,-73.41,73.0,43,20,7.18,US,1589651386
196,krasnoselkup,65.7,82.47,45.36,95,100,2.04,RU,1589651623
197,pueblo,38.25,-104.61,70.0,48,20,8.05,US,1589651524
198,lagoa vermelha,-28.21,-51.53,62.33,57,0,4.9,BR,1589651623
199,gander,48.97,-54.59,41.0,75,75,10.29,CA,1589651624
200,sarangani,5.4,125.46,84.15,80,11,16.42,PH,1589651624
201,izhma,65.01,53.91,46.04,57,100,3.91,RU,1589651624
202,tuatapere,-46.13,167.68,43.7,85,0,4.32,NZ,1589651624
203,bakel,14.9,-12.46,109.58,10,9,8.66,SN,1589651624
204,voi,-3.39,38.56,71.69,67,9,8.41,KE,1589651625
205,brokopondo,4.75,-55.17,83.16,76,8,5.64,SR,1589651625
206,lompoc,34.64,-120.46,69.01,59,1,13.87,US,1589651500
207,cao bang,22.67,106.25,75.4,87,28,1.19,VN,1589651625
208,la ronge,55.1,-105.28,57.2,28,20,5.82,CA,1589651626
209,okato,-39.2,173.88,48.99,70,36,10.0,NZ,1589651626
210,planaltina,-15.45,-47.61,71.01,94,75,12.75,BR,1589651626
211,charlestown,-32.95,151.67,55.0,90,73,1.66,AU,1589651626
212,cabay,13.88,121.38,79.0,95,100,0.94,PH,1589651626
213,torzhok,57.04,34.96,45.21,84,70,7.74,RU,1589651627
214,manuk mangkaw,4.8,119.85,84.9,80,48,11.01,PH,1589651628
215,inhambane,-23.86,35.38,73.4,78,2,4.7,MZ,1589651628
216,faanui,-16.48,-151.75,82.13,75,32,7.76,PF,1589651269
217,ilulissat,69.22,-51.1,30.2,92,90,6.93,GL,1589651629
218,carnarvon,-24.87,113.63,69.84,24,14,9.93,AU,1589651629
219,saint-pierre,-21.34,55.48,75.2,78,90,4.7,RE,1589651630
